name,slug,site_type,lat,lng,country,has_image,wikipedia_url
"Druid's Altar four poster stone circle","druid-s-altar-four-poster-stone-circle","stone circle",54.0833,-2.07873,"United Kingdom",yes,""
"Rosa dos Ventos","rosa-dos-ventos","stone circle",37.00045556,-8.94770833,"Portugal",yes,""
"Cromeleque da Portela de Modos","cromeleque-da-portela-de-modos","stone circle",38.626804351,-8.024656295,"Portugal",yes,""
"Schiffssetzung von Össlöv","schiffssetzung-von-osslov","stone circle",56.87603,13.98025,"Sweden",yes,""
"Crugian Bach stone circle","crugian-bach-stone-circle","stone circle",52.249433,-3.5665551,"United Kingdom",no,""
"St Colmac Cottages Stone Circle","st-colmac-cottages-stone-circle","stone circle",55.854573,-5.1259719,"United Kingdom",yes,""
"Large regular stone circle 560m north east of Leaze","large-regular-stone-circle-560m-north-east-of-leaze","stone circle",50.5656,-4.63243,"United Kingdom",no,""
"Soussons Common stone circle","soussons-common-stone-circle","stone circle",50.5929,-3.87316,"United Kingdom",yes,""
"Cothiemuir Wood","cothiemuir-wood","stone circle",57.267351,-2.6364648,"United Kingdom",yes,""
"Large regular stone circle called the Trippet Stones","large-regular-stone-circle-called-the-trippet-stones","stone circle",50.545,-4.63918,"United Kingdom",no,""
"Fernworthy Circle","fernworthy-circle","stone circle",50.6414,-3.9035,"United Kingdom",yes,""
"Kerry Hill","kerry-hill","stone circle",52.466201,-3.2412907,"United Kingdom",no,""
"Rhos-y-Beddau Stone Circle, Avenue and Cairn","rhos-y-beddau-stone-circle-avenue-and-cairn","stone circle",52.86,-3.39,"United Kingdom",yes,""
"Craddock Moor stone circle and adjacent peat-stack platform 800m NNE of Trewalla Farm","craddock-moor-stone-circle-and-adjacent-peat-stack-platform-800m-nne-of-trewalla-farm","stone circle",50.52,-4.47185,"United Kingdom",no,""
"Monument to the Foresters","monument-to-the-foresters","stone circle",50.770294,4.403991,"Belgium",yes,""
"Stone circle and funerary cairn 440m south west of Great Knott, Lacra","stone-circle-and-funerary-cairn-440m-south-west-of-great-knott-lacra","stone circle",54.2175,-3.30621,"United Kingdom",yes,""
"Arkle Beck stone circle","arkle-beck-stone-circle","stone circle",54.4639,-2.06899,"United Kingdom",no,""
"Cromlec de Pins Rosers","cromlec-de-pins-rosers","stone circle",41.620858,2.362747,"Spain",yes,""
"Schiffssetzung bei Ugglarp","schiffssetzung-bei-ugglarp","stone circle",55.637317,13.413762,"Sweden",yes,""
"Sherberton stone circle 315m SSE of Little Sherberton","sherberton-stone-circle-315m-sse-of-little-sherberton","stone circle",50.5425,-3.92155,"United Kingdom",no,""
"Steintanz von Netzeband","steintanz-von-netzeband","stone circle",54.07331,13.7195,"Germany",yes,""
"Nant Croes-y-wernen stone circle","nant-croes-y-wernen-stone-circle","stone circle",52.940785,-3.3436594,"United Kingdom",no,""
"Grey Hill Stone Circle","grey-hill-stone-circle","stone circle",51.637959,-2.8137001,"United Kingdom",yes,""
"Gålrums grave field","galrums-grave-field","stone circle",57.3291,18.6573,"Sweden",yes,""
"Tynreich stone circle","tynreich-stone-circle","stone circle",56.66169,-3.6717902,"United Kingdom",yes,""
"Hampton stone circle","hampton-stone-circle","stone circle",50.6768,-2.57295,"United Kingdom",no,""
"Cerrig Arthur Stone Circle","cerrig-arthur-stone-circle","stone circle",52.750226,-4.0286928,"United Kingdom",yes,""
