name,slug,site_type,lat,lng,country,has_image,wikipedia_url
"Zorats Karer","zorats-karer","stone circle",39.5507,46.0286,"Armenia",yes,"https://en.wikipedia.org/wiki/Carahunge"
"Devil's Quoits","devil-s-quoits","henge",51.7399,-1.40587,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Devil%27s_Quoits"
"Haltadans","haltadans","cairn",60.610226,-0.86555427,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Haltadans"
"Birkrigg stone circle","birkrigg-stone-circle","stone circle",54.1566,-3.08517,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Birkrigg_stone_circle"
"Rollright Stones","rollright-stones","dolmen",51.975555555,-1.570833333,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Rollright_Stones"
"Hoarstones","hoarstones","stone circle",52.5929,-2.9993,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Hoarstones"
"Old Bourtreebush","old-bourtreebush","stone circle",57.055775,-2.1605362,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Auld_Bourtreebush"
"Duloe stone circle","duloe-stone-circle","stone circle",50.3981,-4.48356,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Duloe_stone_circle"
"Cheetham Close","cheetham-close","stone circle",53.6385,-2.43015,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Cheetham_Close"
"Balquhain stone circle","balquhain-stone-circle","stone circle",57.30658,-2.4415016,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Balquhain"
"Stone circles of Junapani","stone-circles-of-junapani","stone circle",21.19856271,78.99967083,"India",yes,"https://en.wikipedia.org/wiki/Stone_circles_of_Junapani"
"Colmeallie stone circle","colmeallie-stone-circle","stone circle",56.892378,-2.7144745,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Colmeallie_stone_circle"
"Tyrebagger","tyrebagger","stone circle",57.20953,-2.234208,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Tyrebagger_stone_circle"
"Nine Stones","nine-stones","stone circle",50.5763,-4.49258,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Nine_Stones,_Altarnun"
"Grey Wethers","grey-wethers","stone circle",50.6317,-3.92577,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Grey_Wethers"
"Doll Tor","doll-tor","cairn",53.1625,-1.64501,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Doll_Tor"
"Callanish IV","callanish-iv","cairn",58.175589,-6.7136027,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Callanish_IV"
"Nine Ladies","nine-ladies","stone circle",53.1681,-1.62889,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Nine_Ladies"
"Stonehenge Aotearoa","stonehenge-aotearoa","megalithic monument",-41.0998,175.58,"New Zealand",yes,"https://en.wikipedia.org/wiki/Stonehenge_Aotearoa"
"Bryn Gwyn stones","bryn-gwyn-stones","stone circle",53.1772,-4.30213,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Bryn_Gwyn_stones"
"Carrigagulla","carrigagulla","stone circle",51.976944,-8.925,"Ireland",yes,"https://en.wikipedia.org/wiki/Carrigagulla"
"Glebe Stone Circles","glebe-stone-circles","stone circle",53.548511,-9.263524,"Ireland",yes,"https://en.wikipedia.org/wiki/Glebe_Stone_Circles"
"Tregeseal East stone circle","tregeseal-east-stone-circle","stone circle",50.1337,-5.65852,"United Kingdom",yes,"https://en.wikipedia.org/wiki/Tregeseal_East_stone_circle"
"Nant Tarw stone circles","nant-tarw-stone-circles","stone circle",51.918539,-3.7186972,"United Kingdom",yes,""
"Crugian Bach stone circle","crugian-bach-stone-circle","stone circle",52.249433,-3.5665551,"United Kingdom",no,""
"Skärholmen stone circle","skarholmen-stone-circle","stone circle",59.269206,17.89875,"Sweden",yes,""
"Cromeleque da Portela de Modos","cromeleque-da-portela-de-modos","stone circle",38.626804351,-8.024656295,"Portugal",yes,""
"Stone circle in Fan Lau","stone-circle-in-fan-lau","megalithic monument",22.197733,113.848014,"People's Republic of China",yes,""
